# index	path	equivalence	max-channel-error	provenance	decoded-rgba8-sha256	encoded-sha256	alias-identity	alias-target
0	col/col_black_1.png	pixel-exact	0	analytic	62fb561c59d0cea247fc588f3311ee665375f35d8675b186e2792cb7dfcff88c	953d1700bd27cfa3f776bec89360c55b7bcf094132fb16394cb172e5f5edc16b		
1	col/col_black_2.png	pixel-exact	0	analytic	d8d553546719ecc9637714ba865b13783ef9f55aa28c0b79b0dfe2e7042cc38a	128a17617ff09a91e74050d43ae74d9c69b7da96111f5288ee7d5ddf290d837d		
2	col/col_black_3.png	pixel-exact	0	analytic	72a7a4c4c5ea6171fec5a6224303453de08bebea8f4aa34e1f59d5e177f4e526	a9e4ffcb81fdfd6b47dc892cca91872ac7d1a27af6ba1b7c8d67489d5d995710		
3	col/col_black_4.png	pixel-exact	0	analytic	0fbba07a833d4dcfc7024eaf313661a0ba8f80a05c6d29b8801c612e10e60dee	d4c66b108c68501254c4dcb9308ab5321c99d8ce9c59658c23d69398e3b330f3		
4	col/col_blue_hi.png	pixel-exact	0	analytic	c34fb4331b2d031d7c644860b54a678424c66ef12352fc165a91dc09840d98fd	c97dea7122b09cce672648f3cb64495b7820136ce563900bb7358708599acdff		
5	col/col_blue_lo.png	pixel-exact	0	analytic	b2e50d5d7f3e1936da75a863f0c00e2e5b665550b4b26b298052e843d2dbb640	07c330fbac8c020e9cd79781e2145a34fc1227812bde0b6fec51c58bb9607bff		
6	col/col_cyan_hi.png	pixel-exact	0	analytic	85d8b62ded901c24b4abd09d1a5a46cb79f1ff0dfd1008f85310f0c3c685d683	fa02f3984c136eba2dbce97e0d6cc131ace843c8b3d49c08defc70f6df43c4a2		
7	col/col_cyan_lo.png	pixel-exact	0	analytic	fe9a4f628991fe7e2c2845f25e342f95b997a80e436e2f63d36c3083a542ee09	11ef67a635ff2bdfd2c18cac143e93f991afc08f9c589e4aed42a520271c1761		
8	col/col_green_hi.png	pixel-exact	0	analytic	3d558540e8c59a9e6915aaa700c8d714c8927167920bf0bcf84c4ece2589f368	1b9f52056c5b661058b129e4eb31d7c865ef39eabbbf5b07ff59faf0109376c3		
9	col/col_green_lo.png	pixel-exact	0	analytic	d6025b35b705dbd83b16bd7696413ac5464fafc53a12b3b5cb751b99dca431d1	8cd5d591f270addc648d9ed30e9ef88834acf3d66422c7d6b7edfc00aba2c8cc		
